%time,field.header.seq,field.header.stamp,field.header.frame_id,field.MX,field.MY,field.MZ,field.GX,field.GY,field.GZ,field.AX,field.AY,field.AZ
1474475397907677414,600,1474475397816102614,imu,0.0736,0.368,-0.2483,-0.0111701072128,0.0102974425868,0.0410152374219,-0.8237586,-9.75957808,0.04707192
1474475398008280788,601,1474475397913450029,imu,0.0753,0.3678,-0.2473,-0.0478220215046,0.00767944870878,0.0359537825911,-0.87083052,-9.77526872,0.02353596
1474475398108872910,602,1474475398010856653,imu,0.0781,0.3696,-0.2458,-0.0685914396034,0.0165806278939,0.0397935069455,-0.88652116,-9.7281968,-0.01569064
1474475398209455377,603,1474475398108347059,imu,0.0794,0.3717,-0.2425,-0.0872664625997,0.0265290046303,0.046425758103,-0.9022118,-9.68112488,-0.06276256
1474475398299996907,604,1474475398210508885,imu,0.0823,0.3732,-0.2398,-0.0799360797413,0.0363028484415,0.0457276264023,-1.02773692,-9.67327956,-0.10198916
1474475398400631073,605,1474475398308247317,imu,0.084,0.3758,-0.2366,-0.0561996019142,0.0286233997327,0.0310668606855,-1.06696352,-9.7674234,-0.1569064
1474475398501228260,606,1474475398406494547,imu,0.0859,0.3763,-0.2341,0.00349065850399,0.0143116998664,0.00994837673637,-1.12188076,-9.8851032,-0.17259704
1474475398601843594,607,1474475398509151654,imu,0.0866,0.376,-0.2352,0.0771435529381,-0.00279252680319,-0.00907571211037,-1.03558224,-10.01847364,-0.13337044
1474475398702440226,608,1474475398606769684,imu,0.0855,0.3743,-0.2394,0.138579142608,-0.00872664625997,-0.014835298642,-0.99635564,-10.05770024,-0.10983448
1474475398803061711,609,1474475398704889631,imu,0.0853,0.3708,-0.2451,0.172089464247,-0.00733038285838,-0.00733038285838,-0.88652116,-10.06554556,-0.04707192
1474475398903671677,610,1474475398802624033,imu,0.086,0.3673,-0.25,0.152541776624,0.0111701072128,-0.0013962634016,-0.80022264,-9.97924704,0.37657536
1474475398994217246,611,1474475398905229825,imu,0.0878,0.3653,-0.2612,0.0825540736193,0.0204203522483,0.0314159265359,-1.23171524,-9.81449532,0.1176798
1474475399094795064,612,1474475399003066146,imu,0.0914,0.3649,-0.2598,0.00191986217719,0.0226892802759,0.012217304764,-1.16110736,-9.65758892,-0.17259704
1474475399195456672,613,1474475399100708684,imu,0.0948,0.3684,-0.2599,-0.0624827872214,0.0118682389136,-0.014835298642,-0.58055368,-8.81029436,0.49425516
1474475399296024712,614,1474475399203548601,imu,0.0945,0.3673,-0.259,-0.10541788682,-0.00314159265359,-0.0324631240871,-1.52199208,-9.35946676,-0.38442068
1474475399396740191,615,1474475399302093322,imu,0.0933,0.3707,-0.256,-0.119729586687,-0.0200712863979,-0.0275762021815,-2.09470044,-10.01847364,-0.21182364
1474475399487234838,616,1474475399399278280,imu,0.0922,0.3738,-0.2524,-0.110653874576,-0.0439822971503,-0.0165806278939,-1.27094184,-9.97924704,0.24320492
1474475399598011083,617,1474475399496945866,imu,0.0906,0.3752,-0.2475,-0.0966912405605,-0.0511381470834,-0.0303687289847,-0.98851032,-9.83803128,0.14906108
1474475399688591935,618,1474475399600098324,imu,0.0872,0.378,-0.2425,-0.0813323431429,-0.0356047167407,-0.0296705972839,-1.12972608,-10.23029728,0.03138128
1474475399789164024,619,1474475399700573083,imu,0.0846,0.3802,-0.24,-0.076096355387,-0.0102974425868,-0.0125663706144,-0.6668522,-9.50852784,-1.00420096
1474475399889865021,620,1474475399795340136,imu,0.0858,0.3812,-0.2381,-0.0561996019142,0.00820304748437,0.0331612557879,-0.392266,-10.26952388,0.21182364
1474475399990462295,621,1474475399897907176,imu,0.0831,0.3816,-0.2369,-0.0219911485751,0.0230383461263,0.0677187749774,-1.11403544,-9.6889702,-0.17259704
1474475400091092901,622,1474475399996021761,imu,0.0878,0.3817,-0.2337,-0.0186750229963,0.0247836753783,0.075223690761,-1.4906108,-9.83803128,-0.01569064
1474475400191739747,623,1474475400093463773,imu,0.0893,0.3821,-0.2336,-0.0129154364648,0.00628318530718,0.0928515162061,-1.34939504,-9.60267168,-0.16475172
1474475400292611913,624,1474475400196537522,imu,0.0918,0.3793,-0.2303,-0.0186750229963,-0.0240855436775,0.0938987137573,-1.4513842,-9.56344508,-0.07060788
1474475400393239611,625,1474475400293752244,imu,0.0931,0.3808,-0.2306,-0.0268780704807,-0.0558505360638,0.0830776723949,-1.46707484,-9.60267168,-0.32165812
1474475400483775856,626,1474475400391911760,imu,0.0949,0.3811,-0.2291,-0.0298451302091,-0.0836012711705,0.0774926187885,-1.4121576,-9.64189828,-0.2353596
1474475400584437983,627,1474475400489018518,imu,0.0958,0.3833,-0.2288,-0.0198967534727,-0.100530964915,0.0555014702134,-1.53768272,-9.80665,0.04707192
1474475400685026680,628,1474475400592379795,imu,0.0949,0.383,-0.2274,-0.00733038285838,-0.0949459113085,0.0394444410951,-1.59259996,-9.86941256,-0.14121576
1474475400785635622,629,1474475400689651596,imu,0.0942,0.3836,-0.2263,0.00506145483078,-0.0911061869541,0.0432841654495,-1.67105316,-9.8851032,-0.17259704
1474475400886254351,630,1474475400787821106,imu,0.0935,0.3817,-0.2268,0.0204203522483,-0.0869173967493,0.0478220215046,-1.58475464,-9.81449532,-0.32165812
1474475400986855771,631,1474475400890930809,imu,0.0945,0.382,-0.228,0.0237364778271,-0.0816814089933,0.0443313630007,-1.5298374,-9.99493768,-0.06276256
1474475401077362927,632,1474475400988683754,imu,0.0936,0.3831,-0.2287,0.0265290046303,-0.070860367631,0.0450294947015,-1.63182656,-9.94786576,-0.10983448
1474475401178077156,633,1474475401085931686,imu,0.0932,0.3816,-0.2293,0.0223402144255,-0.0631809189222,0.0380481776935,-1.58475464,-9.90863916,-0.01569064
1474475401278659374,634,1474475401184326433,imu,0.0937,0.3814,-0.2303,0.0356047167407,-0.0511381470834,0.0198967534727,-1.81226892,-9.86941256,-0.14121576
1474475401379264463,635,1474475401286547017,imu,0.094,0.3797,-0.2322,0.0352556508903,-0.0380481776935,0.0,-2.01624724,-9.50852784,-0.10983448
1474475401479850039,636,1474475401384678710,imu,0.0925,0.3799,-0.2331,0.0340339204139,-0.0349065850399,-0.0268780704807,-1.97702064,-9.46930124,-0.04707192
1474475401580374093,637,1474475401482165854,imu,0.0903,0.3783,-0.2341,0.0375245789179,-0.0460766922527,-0.053407075111,-2.2359162,-9.46145592,-0.0784532
1474475401680976922,638,1474475401585075549,imu,0.0869,0.3787,-0.2361,0.0352556508903,-0.073478361509,-0.0659734457254,-2.07116448,-9.3751574,-0.03138128
1474475401771532770,639,1474475401682204654,imu,0.0825,0.3764,-0.2364,0.0328121899375,-0.0928515162061,-0.0876155284501,-2.08685512,-9.35162144,0.02353596
1474475401872467447,640,1474475401779938084,imu,0.0769,0.3761,-0.2379,0.0254818070791,-0.116937059884,-0.108559479474,-1.54552804,-9.53990912,0.04707192
1474475401972992884,641,1474475401877516680,imu,0.0706,0.374,-0.2377,0.0240855436775,-0.124616508592,-0.119031454986,-1.52199208,-9.414384,0.01569064
1474475402073596738,642,1474475401980113332,imu,0.0643,0.3744,-0.2375,0.00558505360638,-0.125140107368,-0.117286125734,-1.20817928,-9.57913572,0.12552512
1474475402174350111,643,1474475402078049992,imu,0.0572,0.3733,-0.2363,0.00401425727959,-0.11379546723,-0.107861347773,-0.9022118,-9.43791996,-0.06276256
1474475402274982053,644,1474475402175201528,imu,0.0506,0.373,-0.2358,-0.00558505360638,-0.0911061869541,-0.0966912405605,-0.96497436,-9.43791996,0.0
1474475402375601432,645,1474475402277812817,imu,0.0445,0.3726,-0.2352,-0.00907571211037,-0.0668461103514,-0.067369709127,-0.71392412,-9.6889702,0.12552512
1474475402466175289,646,1474475402375333294,imu,0.0418,0.3722,-0.2348,-0.014835298642,-0.0439822971503,-0.0244346095279,-0.59624432,-9.46145592,0.09414384
1474475402576813921,647,1474475402472702156,imu,0.0391,0.3722,-0.2334,-0.0359537825911,-0.0352556508903,0.0143116998664,-0.76884136,-9.43791996,0.18044236
1474475402667856426,648,1474475402575586702,imu,0.0399,0.373,-0.2317,-0.0581194640914,-0.0530580092606,0.0527089434102,-0.79237732,-9.79095936,-0.04707192
1474475402768549056,649,1474475402672518885,imu,0.0406,0.3741,-0.2291,-0.0747000919854,-0.0806342114421,0.0694641042294,-1.18464332,-9.61836232,-0.17259704
1474475402859065874,650,1474475402770382609,imu,0.0412,0.3766,-0.2261,-0.0792379480405,-0.127409035396,0.076096355387,-1.3337044,-9.73604212,-0.17259704
1474475402969722682,651,1474475402868041630,imu,0.0403,0.3789,-0.2225,-0.0617846555206,-0.15777776438,0.0748746249106,-1.16895268,-9.82234064,-0.14906108
1474475403060233364,652,1474475402972194723,imu,0.0407,0.3806,-0.2189,-0.0565486677646,-0.153588974176,0.0872664625997,-1.38862164,-9.91648448,-0.0784532
1474475403160840503,653,1474475403068680744,imu,0.0401,0.3829,-0.2151,-0.0565486677646,-0.133692220703,0.0890117918517,-1.35724036,-9.90079384,-0.13337044
1474475403271601147,654,1474475403166566338,imu,0.0412,0.3845,-0.2124,-0.0729547627334,-0.111177473352,0.100181899064,-1.60044528,-9.90079384,-0.22751428
1474475403362736592,655,1474475403269398962,imu,0.0422,0.3863,-0.2081,-0.0862192650485,-0.107512281923,0.101927228316,-1.61613592,-9.97924704,-0.29027684
1474475403463368414,656,1474475403367298422,imu,0.0438,0.3884,-0.2035,-0.0904080552533,-0.106116018521,0.103672557568,-1.96133,-10.03416428,-0.29027684
1474475403563925746,657,1474475403465200743,imu,0.0463,0.3916,-0.1987,-0.075223690761,-0.110653874576,0.0966912405605,-2.07116448,-10.002783,-0.52563644
1474475403665173162,658,1474475403564047697,imu,0.0475,0.3918,-0.1944,-0.0504400153826,-0.120427718388,0.0607374579694,-2.22807088,-9.97140172,-0.32165812
1474475403755745691,659,1474475403666039096,imu,0.0492,0.3927,-0.1925,-0.00925024503557,-0.119031454986,0.0132645023152,-1.91425808,-10.0420096,-0.30596748
1474475403856354649,660,1474475403764099129,imu,0.0484,0.3942,-0.1912,0.0204203522483,-0.119031454986,-0.00191986217719,-1.8436502,-9.61836232,-0.3138128
1474475403957652713,661,1474475403862009297,imu,0.0472,0.3956,-0.1927,0.0408407044967,-0.109606677025,-0.0191986217719,-2.17315364,-9.46930124,-0.22751428
1474475404058359563,662,1474475403964630648,imu,0.0445,0.3945,-0.1953,0.0467748239534,-0.100530964915,-0.0174532925199,-1.92994872,-9.46145592,-0.34519408
1474475404158972110,663,1474475404062240523,imu,0.044,0.394,-0.1968,0.0403171057211,-0.0862192650485,-0.0174532925199,-1.4906108,-10.04985492,-0.20397832
1474475404249565537,664,1474475404160111371,imu,0.0403,0.3932,-0.1969,0.0298451302091,-0.0839503370209,-0.0511381470834,-2.12608172,-10.01847364,-0.14906108
1474475404360603262,665,1474475404263138535,imu,0.0386,0.3936,-0.1973,0.0195476876223,-0.100530964915,-0.0918043186549,-1.74950636,-9.79880468,-0.28243152
1474475404451152925,666,1474475404360699825,imu,0.0318,0.3922,-0.1987,0.0174532925199,-0.123569311041,-0.151843644924,-2.16530832,-9.71250616,-0.01569064
1474475404553190409,667,1474475404458330104,imu,0.0244,0.3897,-0.198,0.0251327412287,-0.152192710774,-0.180117978806,-1.34939504,-10.198916,0.29812216
1474475404653903726,668,1474475404558295797,imu,0.0149,0.3881,-0.1968,0.0310668606855,-0.152890842475,-0.19233528357,-2.22022556,-9.52421848,-0.10983448
1474475404754599754,669,1474475404659356510,imu,0.0033,0.3835,-0.1955,0.0237364778271,-0.137357412132,-0.166853476491,-0.81591328,-9.59482636,-0.32165812
1474475404845267241,670,1474475404758627564,imu,-0.005,0.382,-0.1959,0.0129154364648,-0.107512281923,-0.107861347773,-1.27094184,-9.51637316,0.10983448
1474475404945940233,671,1474475404854262640,imu,-0.0093,0.3809,-0.1948,0.00872664625997,-0.0813323431429,-0.00977384381117,-1.36508568,-9.2967042,-0.38442068
1474475405046674830,672,1474475404951844541,imu,-0.0089,0.3823,-0.1937,-0.00488692190558,-0.0572467994654,0.0748746249106,-0.57270836,-9.9243298,-0.14906108
1474475405147263357,673,1474475405054344133,imu,-0.0079,0.3831,-0.1918,-0.0244346095279,-0.073478361509,0.120776784238,-1.32585908,-9.6889702,0.52563644
1474475405248186034,674,1474475405151745646,imu,-0.0054,0.3854,-0.1908,-0.0366519142919,-0.0911061869541,0.10978120995,-1.32585908,-9.08488056,-0.1176798
1474475405348760386,675,1474475405249478928,imu,-0.0024,0.3885,-0.1882,-0.0593411945678,-0.12287117934,0.0977384381117,-1.12972608,-9.73604212,0.60408964
1474475405449403482,676,1474475405352069163,imu,-0.0013,0.3898,-0.184,-0.0748746249106,-0.150621914447,0.074351026135,-1.22386992,-10.59902732,0.28243152
1474475405539939438,677,1474475405449662635,imu,0.0003,0.392,-0.178,-0.0900589894029,-0.170344134995,0.0401425727959,-0.97281968,-9.23394164,0.03138128
1474475405640530485,678,1474475405546913645,imu,-0.0035,0.3941,-0.1729,-0.0942477796077,-0.160046692408,0.0324631240871,-1.30232312,-9.77526872,0.3530394
1474475405741137100,679,1474475405649385809,imu,-0.0038,0.3945,-0.1667,-0.0890117918517,-0.147829387644,0.0579449311662,-0.76884136,-10.24598792,-0.20397832
1474475405841700169,680,1474475405746922571,imu,-0.006,0.3964,-0.1609,-0.068242373753,-0.138579142608,0.0820304748437,-1.67105316,-10.4342756,-0.43933792
1474475405942299561,681,1474475405847302857,imu,-0.005,0.3986,-0.1555,-0.055152404363,-0.127758101246,0.0949459113085,-1.27878716,-10.03416428,-0.46287388
1474475406042923467,682,1474475405943421200,imu,-0.0041,0.4011,-0.1526,-0.0212930168743,-0.130550628049,0.0949459113085,-2.22807088,-10.2773692,0.18044236
1474475406133447789,683,1474475406045644406,imu,-0.0082,0.3982,-0.148,0.00349065850399,-0.13561208288,0.0164060949687,-1.82795956,-10.09692684,-0.25889556
1474475406234050989,684,1474475406143215549,imu,-0.0108,0.3971,-0.1462,0.0181514242207,-0.129503430498,-0.0417133691227,-1.95348468,-9.75957808,-0.20397832
1474475406335098369,685,1474475406241052928,imu,-0.0135,0.396,-0.144,0.0136135681656,-0.12688543662,-0.0980875039621,-1.89072212,-9.81449532,-0.12552512
1474475406435711586,686,1474475406345268782,imu,-0.0193,0.3946,-0.1434,-0.00663225115758,-0.129154364648,-0.132645023152,-1.87503148,-9.75173276,-0.06276256
1474475406536308994,687,1474475406441439107,imu,-0.0268,0.3922,-0.1408,-0.0233874119767,-0.121823981789,-0.168773338668,-1.6867438,-9.77526872,-0.09414384
1474475406636857441,688,1474475406538985792,imu,-0.0345,0.39,-0.1388,-0.013962634016,-0.11344640138,-0.195476876223,-1.48276548,-9.7674234,-0.10198916
1474475406737731527,689,1474475406636985118,imu,-0.0436,0.3868,-0.1358,0.00663225115758,-0.108210413624,-0.221307749153,-1.31016844,-9.74388744,-0.13337044
1474475406828312204,690,1474475406739855507,imu,-0.0533,0.3834,-0.1347,0.0450294947015,-0.10105456369,-0.227765467385,-1.12188076,-9.71250616,-0.07060788
